# freq_THz  G_total  G_B  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.4414062500e-01 8.9389462293e-02 1.7751864590e-03 5.5915089551e-02 3.1699186283e-02
4.8828125000e-01 1.1891112662e-01 2.1331290826e-03 7.4600030939e-02 4.2177966601e-02
7.3242187500e-01 1.4294312538e-01 2.2865946778e-03 8.9926768635e-02 5.0729762072e-02
9.7656250000e-01 1.6007132459e-01 2.3503356816e-03 1.0086707330e-01 5.6853915607e-02
1.2207031250e+00 1.7215098023e-01 2.3815044089e-03 1.0853892605e-01 6.1230549772e-02
1.4648437500e+00 1.8689510663e-01 2.5619806462e-03 1.1777062589e-01 6.6562500093e-02
1.7089843750e+00 1.9590117229e-01 2.6017063543e-03 1.2351958152e-01 6.9779884411e-02
1.9531250000e+00 2.0218068537e-01 2.6549026040e-03 1.2762621448e-01 7.1899568290e-02
2.1972656250e+00 2.1468995851e-01 2.7992449605e-03 1.3577158552e-01 7.6119128031e-02
2.4414062500e+00 2.2340942269e-01 2.8406284518e-03 1.4171778461e-01 7.8851009627e-02
2.6855468750e+00 2.3980435990e-01 2.9949063600e-03 1.5284427574e-01 8.3965177793e-02
2.9296875000e+00 2.5098857012e-01 3.0805499784e-03 1.6100492397e-01 8.6903096171e-02
3.1738281250e+00 2.6185945010e-01 3.0791407171e-03 1.6953307370e-01 8.9247235680e-02
3.4179687500e+00 2.9287335850e-01 3.2047659104e-03 1.9214381611e-01 9.7524776484e-02
3.6621093750e+00 3.2851248393e-01 3.3377043857e-03 2.1973190425e-01 1.0544287529e-01
3.9062500000e+00 3.2892633257e-01 3.3813848571e-03 2.2576475368e-01 9.9780194034e-02
4.1503906250e+00 2.8696240005e-01 3.4783542980e-03 2.0179412957e-01 8.1689916175e-02
4.3945312500e+00 2.4968018203e-01 3.6501136328e-03 1.7832615338e-01 6.7703915014e-02
4.6386718750e+00 2.1956572864e-01 3.9195212047e-03 1.5624679566e-01 5.9399411779e-02
4.8828125000e+00 1.7565819099e-01 4.5900255304e-03 1.1954851889e-01 5.1519646578e-02
5.1269531250e+00 1.5557980010e-01 6.9899646068e-03 9.2348290963e-02 5.6241544530e-02
5.3710937500e+00 1.6508485387e-01 9.9909362489e-03 8.5424856866e-02 6.9669060758e-02
5.6152343750e+00 1.6974571651e-01 1.0700030101e-02 8.5065933661e-02 7.3979752751e-02
5.8593750000e+00 1.5896887289e-01 9.1502383227e-03 8.1491692630e-02 6.8326941933e-02
6.1035156250e+00 1.5215357033e-01 7.4526830679e-03 8.0646237486e-02 6.4054649772e-02
6.3476562500e+00 1.5322345661e-01 5.8570405807e-03 8.4459552717e-02 6.2906863314e-02
6.5917968750e+00 1.6280564108e-01 4.4204421386e-03 8.8585764067e-02 6.9799434871e-02
6.8359375000e+00 2.0078416600e-01 3.7060775718e-03 1.0422201159e-01 9.2856076844e-02
7.0800781250e+00 2.4497037614e-01 3.7331809150e-03 1.2520893155e-01 1.1602826367e-01
7.3242187500e+00 2.8956202047e-01 3.9323057391e-03 1.4597971937e-01 1.3964999536e-01
7.5683593750e+00 3.4381817746e-01 4.0603482765e-03 1.7366281056e-01 1.6609501862e-01
7.8125000000e+00 4.0168861456e-01 4.2946090900e-03 2.0327295751e-01 1.9412104796e-01
8.0566406250e+00 4.3475332866e-01 4.5548826965e-03 2.1957124763e-01 2.1062719834e-01
8.3007812500e+00 4.3091059553e-01 4.7865829908e-03 2.1695696043e-01 2.0916705211e-01
8.5449218750e+00 3.9720357420e-01 4.7632005260e-03 2.0046728298e-01 1.9197309069e-01
8.7890625000e+00 3.7262357498e-01 4.6452275212e-03 1.8923871998e-01 1.7873962747e-01
9.0332031250e+00 3.5905888078e-01 4.6388712567e-03 1.8285748160e-01 1.7156252793e-01
9.2773437500e+00 3.4251954345e-01 4.4877296368e-03 1.7611882492e-01 1.6191298890e-01
9.5214843750e+00 3.3055762986e-01 4.4158549012e-03 1.7170954899e-01 1.5443222596e-01
9.7656250000e+00 3.2166034806e-01 4.2725952482e-03 1.6536139781e-01 1.5202635500e-01
1.0009765625e+01 3.1660157088e-01 4.0257907341e-03 1.6115496150e-01 1.5142081865e-01
1.0253906250e+01 3.0932672577e-01 3.8365388954e-03 1.5744508063e-01 1.4804510624e-01
1.0498046875e+01 3.0761856179e-01 3.7338732767e-03 1.5697864875e-01 1.4690603977e-01
1.0742187500e+01 3.0641999671e-01 3.6321626032e-03 1.5509235277e-01 1.4769548134e-01
1.0986328125e+01 3.0118609280e-01 3.4158464981e-03 1.4987185641e-01 1.4789838990e-01
1.1230468750e+01 2.9155370913e-01 3.2130027282e-03 1.4372062145e-01 1.4462008496e-01
1.1474609375e+01 2.8331495178e-01 3.0961175187e-03 1.4029702747e-01 1.3992180679e-01
1.1718750000e+01 2.5625677689e-01 2.8467415431e-03 1.2985830674e-01 1.2355172861e-01
1.1962890625e+01 2.1684389822e-01 2.6932937754e-03 1.1634567287e-01 9.7804931577e-02
1.2207031250e+01 1.7115832351e-01 2.5098400597e-03 9.8894902067e-02 6.9753581379e-02
1.2451171875e+01 1.3889708760e-01 2.3809295696e-03 8.8023642717e-02 4.8492515310e-02
1.2695312500e+01 1.2787546613e-01 2.3521417370e-03 8.4368662153e-02 4.1154662236e-02
1.2939453125e+01 1.1865032309e-01 2.2363523343e-03 8.0976779926e-02 3.5437190831e-02
1.3183593750e+01 1.0879958922e-01 1.9781974194e-03 7.7896882791e-02 2.8924509013e-02
1.3427734375e+01 1.0462005969e-01 1.8493261396e-03 7.7589259325e-02 2.5181474229e-02
1.3671875000e+01 1.0697711891e-01 1.8740183571e-03 8.1047176901e-02 2.4055923654e-02
1.3916015625e+01 1.0915003348e-01 1.8791046501e-03 8.4157707929e-02 2.3113220898e-02
1.4160156250e+01 1.1289460076e-01 1.9136232904e-03 8.8546820812e-02 2.2434156654e-02
1.4404296875e+01 1.1984752418e-01 1.9868032519e-03 9.5597178472e-02 2.2263542461e-02
1.4648437500e+01 1.3205159986e-01 2.2069976236e-03 1.0715096775e-01 2.2693634479e-02
1.4892578125e+01 1.4878740770e-01 2.4624599467e-03 1.2323166597e-01 2.3093281777e-02
1.5136718750e+01 1.7126198122e-01 2.6371893311e-03 1.4564126394e-01 2.2983527954e-02
1.5380859375e+01 2.0023560398e-01 2.6899756135e-03 1.7493989837e-01 2.2605729999e-02
1.5625000000e+01 2.1935028533e-01 2.8442654475e-03 1.9460473597e-01 2.1901283906e-02
1.5869140625e+01 2.0389648062e-01 2.7883644243e-03 1.8172968362e-01 1.9378432578e-02
1.6113281250e+01 1.5216124925e-01 2.5541177572e-03 1.3415786062e-01 1.5449270876e-02
1.6357421875e+01 9.8115920924e-02 2.4797975043e-03 8.3838887889e-02 1.1797235531e-02
1.6601562500e+01 6.2720485365e-02 3.3076490741e-03 4.9163322197e-02 1.0249514094e-02
1.6845703125e+01 5.0111582251e-02 4.9625435179e-03 3.3863942331e-02 1.1285096403e-02
1.7089843750e+01 4.2959222126e-02 5.9948717296e-03 2.5033677318e-02 1.1930673079e-02
1.7333984375e+01 3.6701376262e-02 5.8602079327e-03 1.9247847575e-02 1.1593320754e-02
1.7578125000e+01 3.1472861470e-02 5.2997668918e-03 1.5010306783e-02 1.1162787795e-02
1.7822265625e+01 4.2218306273e-02 7.7978902042e-03 1.8212466777e-02 1.6207949292e-02
1.8066406250e+01 6.7993013543e-02 1.3208306732e-02 2.7971190270e-02 2.6813516541e-02
1.8310546875e+01 8.9918791300e-02 1.7729502086e-02 3.6721832669e-02 3.5467456545e-02
1.8554687500e+01 9.5314248061e-02 2.0244601839e-02 3.8076770834e-02 3.6992875388e-02
1.8798828125e+01 8.9009644784e-02 2.3127470933e-02 3.2473674970e-02 3.3408498882e-02
1.9042968750e+01 7.5916918965e-02 2.4944043886e-02 2.3437504535e-02 2.7535370544e-02
1.9287109375e+01 5.8247349139e-02 2.0116366842e-02 1.6551396685e-02 2.1579585612e-02
1.9531250000e+01 4.9510155444e-02 1.6215162296e-02 1.3465541165e-02 1.9829451984e-02
1.9775390625e+01 5.7509246805e-02 2.3193737409e-02 1.1127305808e-02 2.3188203588e-02
2.0019531250e+01 1.0318621357e-01 5.3743302931e-02 1.1227438392e-02 3.8215472250e-02
2.0263671875e+01 1.0329578431e-01 5.5506751002e-02 9.2727717460e-03 3.8516261563e-02
2.0507812500e+01 5.4235151376e-02 2.4173305979e-02 6.8105902899e-03 2.3251255107e-02
2.0751953125e+01 3.2701524806e-02 1.1094295899e-02 5.3250582293e-03 1.6282170677e-02
2.0996093750e+01 2.5097909274e-02 7.4572118865e-03 4.1270228906e-03 1.3513674497e-02
2.1240234375e+01 2.5392138391e-02 8.4043071257e-03 3.4869705947e-03 1.3500860670e-02
2.1484375000e+01 3.2369164062e-02 1.3873472485e-02 2.8011771359e-03 1.5694514441e-02
2.1728515625e+01 3.2261704086e-02 1.3968439280e-02 2.3032352719e-03 1.5990029534e-02
2.1972656250e+01 3.2654290599e-02 8.8135726387e-03 2.1858259350e-03 2.1654892025e-02
2.2216796875e+01 5.4168804608e-02 7.3830925308e-03 2.9840945679e-03 4.3801617510e-02
2.2460937500e+01 7.9701361157e-02 6.2258642737e-03 4.7568271884e-03 6.8718669695e-02
2.2705078125e+01 1.1038465233e-01 5.5225464541e-03 7.7218045705e-03 9.7140301308e-02
2.2949218750e+01 1.3169408605e-01 3.8216364463e-03 1.0764436411e-02 1.1710801320e-01
2.3193359375e+01 1.4769452764e-01 2.1295389220e-03 1.3770622637e-02 1.3179436608e-01
2.3437500000e+01 1.7873883921e-01 1.4497039729e-03 1.8267712233e-02 1.5902142301e-01
2.3681640625e+01 2.0198460335e-01 1.3070167030e-03 2.2666459047e-02 1.7801112760e-01
2.3925781250e+01 2.0809429676e-01 1.1227978999e-03 2.5984161878e-02 1.8098733698e-01
2.4169921875e+01 2.1576049561e-01 1.1017959984e-03 2.9794215107e-02 1.8486448451e-01
2.4414062500e+01 2.1390827510e-01 1.0846143208e-03 3.2429869579e-02 1.8039379120e-01
2.4658203125e+01 2.1525973644e-01 1.0645084585e-03 3.5860002741e-02 1.7833522524e-01
2.4902343750e+01 2.1564913106e-01 1.0497542335e-03 3.9569017147e-02 1.7503035968e-01
2.5146484375e+01 2.1087543679e-01 1.0032323606e-03 4.2414282847e-02 1.6745792158e-01
2.5390625000e+01 2.1469874665e-01 9.3468354043e-04 4.6792231721e-02 1.6697183138e-01
2.5634765625e+01 2.2496579802e-01 8.6012843058e-04 5.2719106248e-02 1.7138656334e-01
2.5878906250e+01 2.6596995450e-01 7.9294937914e-04 6.6804667054e-02 1.9837233807e-01
2.6123046875e+01 3.8902478141e-01 7.4969486665e-04 1.0429639040e-01 2.8397869614e-01
2.6367187500e+01 5.6566577358e-01 7.3774483328e-04 1.5708340278e-01 4.0784462597e-01
2.6611328125e+01 6.6174565340e-01 7.6733935155e-04 1.8677810508e-01 4.7420020896e-01
2.6855468750e+01 6.0639486263e-01 7.9919695617e-04 1.7270643781e-01 4.3288922786e-01
2.7099609375e+01 4.7492499118e-01 7.8753149751e-04 1.3498677024e-01 3.3915068944e-01
2.7343750000e+01 3.4549596178e-01 8.1935100578e-04 9.6745789430e-02 2.4793082135e-01
2.7587890625e+01 2.3157181510e-01 8.6171387480e-04 6.3163929564e-02 1.6754617166e-01
2.7832031250e+01 1.5310158951e-01 8.9255667523e-04 3.9679793817e-02 1.1252923902e-01
2.8076171875e+01 1.3355953457e-01 1.0432179435e-03 3.2134353973e-02 1.0038196266e-01
2.8320312500e+01 1.3144826580e-01 1.3004327546e-03 2.9194157199e-02 1.0095367585e-01
2.8564453125e+01 1.2283345510e-01 1.5730686234e-03 2.3795939963e-02 9.7464446511e-02
2.8808593750e+01 1.2130435462e-01 1.9721918242e-03 1.9580768180e-02 9.9751394612e-02
2.9052734375e+01 1.2666695886e-01 2.3796371900e-03 1.8251491488e-02 1.0603583018e-01
2.9296875000e+01 1.0808692889e-01 2.3050553982e-03 1.4898252409e-02 9.0883621083e-02
2.9541015625e+01 8.2401997411e-02 2.0171942614e-03 1.1109087591e-02 6.9275715559e-02
2.9785156250e+01 5.9556962687e-02 1.7128564336e-03 7.8717018418e-03 4.9972404411e-02
3.0029296875e+01 4.5382925065e-02 1.4282412645e-03 5.9202969792e-03 3.8034386822e-02
3.0273437500e+01 3.6622264694e-02 1.2093941585e-03 4.7885293767e-03 3.0624341159e-02
3.0517578125e+01 2.4385733417e-02 8.3454251298e-04 3.2178016493e-03 2.0333389255e-02
3.0761718750e+01 1.4279162910e-02 5.4903851851e-04 1.9413865190e-03 1.1788737872e-02
3.1005859375e+01 1.0068743447e-02 4.0566372101e-04 1.4402347647e-03 8.2228449618e-03
3.1250000000e+01 6.6235758653e-03 2.8736560034e-04 1.0181685742e-03 5.3180416908e-03
3.1494140625e+01 4.2253144939e-03 2.1724326953e-04 7.0052448786e-04 3.3075467365e-03
3.1738281250e+01 3.0839941432e-03 1.8847981107e-04 5.3516748747e-04 2.3603468446e-03
3.1982421875e+01 2.8959990203e-03 1.9101281950e-04 4.8184019701e-04 2.2231460038e-03
3.2226562500e+01 2.6160375901e-03 1.8893325625e-04 4.3467679737e-04 1.9924275365e-03
3.2470703125e+01 2.0210393789e-03 1.7765435020e-04 3.7069363116e-04 1.4726913975e-03
3.2714843750e+01 1.7710479970e-03 1.8523517056e-04 3.3400510859e-04 1.2518077178e-03
3.2958984375e+01 1.6638734042e-03 2.0895294381e-04 3.1124751239e-04 1.1436729480e-03
3.3203125000e+01 1.6209138924e-03 2.3768443199e-04 2.9568791256e-04 1.0875415478e-03
3.3447265625e+01 1.6863100147e-03 3.0958223417e-04 2.8758898605e-04 1.0891387945e-03
3.3691406250e+01 1.8967179872e-03 4.5569329762e-04 2.8403000689e-04 1.1569946827e-03
3.3935546875e+01 2.0360515491e-03 5.5759373760e-04 2.8169248169e-04 1.1967653298e-03
3.4179687500e+01 2.3490640344e-03 7.4989070830e-04 2.8281074738e-04 1.3163625787e-03
3.4423828125e+01 3.0716935674e-03 1.1406789115e-03 2.9802834116e-04 1.6329863147e-03
3.4667968750e+01 4.2827029354e-03 1.8236923097e-03 3.1879727270e-04 2.1402133530e-03
3.4912109375e+01 5.1018333877e-03 2.3038895148e-03 3.2923781220e-04 2.4687060606e-03
3.5156250000e+01 5.1389252375e-03 2.3940609460e-03 3.1383026527e-04 2.4310340262e-03
3.5400390625e+01 5.7603463576e-03 2.8313692635e-03 3.0799605820e-04 2.6209810359e-03
3.5644531250e+01 6.8863344476e-03 3.5601441085e-03 3.1420370401e-04 3.0119866351e-03
3.5888671875e+01 8.2374133873e-03 4.4541522384e-03 3.2630546830e-04 3.4569556806e-03
3.6132812500e+01 1.0721681673e-02 6.0727287222e-03 3.5651568838e-04 4.2924372621e-03
3.6376953125e+01 1.3070097122e-02 7.6148666952e-03 3.8311987050e-04 5.0721105568e-03
3.6621093750e+01 1.3900432675e-02 8.2030357399e-03 3.8932553848e-04 5.3080713964e-03
3.6865234375e+01 1.5383148815e-02 9.1532019553e-03 4.0682596728e-04 5.8231208923e-03
3.7109375000e+01 1.6680213516e-02 1.0004679614e-02 4.1903965535e-04 6.2564942467e-03
3.7353515625e+01 1.8502812774e-02 1.1155849997e-02 4.4266780389e-04 6.9042949734e-03
3.7597656250e+01 1.9870904602e-02 1.2025131500e-02 4.6283072526e-04 7.3829423762e-03
3.7841796875e+01 2.1218001176e-02 1.2916846363e-02 4.7612013548e-04 7.8250346772e-03
3.8085937500e+01 2.1125693726e-02 1.2970434054e-02 4.6461207162e-04 7.6906476008e-03
3.8330078125e+01 2.2090199652e-02 1.3677630899e-02 4.6728869710e-04 7.9452800563e-03
3.8574218750e+01 2.3570070622e-02 1.4742275992e-02 4.7168448326e-04 8.3561101464e-03
3.8818359375e+01 2.6728744183e-02 1.6921396359e-02 4.8656722582e-04 9.3207805987e-03
3.9062500000e+01 3.0013723418e-02 1.9229467692e-02 4.9539966322e-04 1.0288856063e-02
3.9306640625e+01 3.8280543221e-02 2.4885567485e-02 5.5722969178e-04 1.2837746045e-02
3.9550781250e+01 4.9382299089e-02 3.2390354927e-02 6.4862619232e-04 1.6343317970e-02
3.9794921875e+01 5.8069625661e-02 3.8318022748e-02 7.0974068101e-04 1.9041862232e-02
4.0039062500e+01 6.6076388027e-02 4.3773532943e-02 7.5982776628e-04 2.1543027318e-02
4.0283203125e+01 7.0463741347e-02 4.6773102951e-02 7.7821607233e-04 2.2912422323e-02
4.0527343750e+01 6.3337302378e-02 4.1988870813e-02 6.9621416291e-04 2.0652217402e-02
4.0771484375e+01 5.1666319813e-02 3.4146394020e-02 5.7170891652e-04 1.6948216876e-02
4.1015625000e+01 4.1021115192e-02 2.6986834134e-02 4.6395598136e-04 1.3570325077e-02
4.1259765625e+01 3.0667865393e-02 2.0036106036e-02 3.7608579478e-04 1.0255673562e-02
4.1503906250e+01 2.2350782999e-02 1.4462309885e-02 3.1341445241e-04 7.5750586618e-03
4.1748046875e+01 1.7437034110e-02 1.1167788638e-02 2.7921628416e-04 5.9900291870e-03
4.1992187500e+01 1.2451795032e-02 7.8657969908e-03 2.4048481070e-04 4.3455132305e-03
4.2236328125e+01 8.1998020977e-03 5.0704103313e-03 1.9933505138e-04 2.9300567150e-03
4.2480468750e+01 5.4008507275e-03 3.2309386278e-03 1.6423956332e-04 2.0056725364e-03
4.2724609375e+01 3.0058067423e-03 1.6784955940e-03 1.3134561786e-04 1.1959655305e-03
4.2968750000e+01 1.8854424472e-03 9.7926424901e-04 1.0690797027e-04 7.9927022792e-04
4.3212890625e+01 1.3013090682e-03 6.3507602511e-04 8.6920993467e-05 5.7931204961e-04
4.3457031250e+01 1.0033496989e-03 4.7563915312e-04 7.0955134944e-05 4.5675541083e-04
4.3701171875e+01 8.4836723160e-04 4.0219156606e-04 5.9019621123e-05 3.8715604441e-04
4.3945312500e+01 7.2407095028e-04 3.4297427752e-04 4.9832154596e-05 3.3126451817e-04
4.4189453125e+01 6.4035728305e-04 3.0219214779e-04 4.3431849826e-05 2.9473328544e-04
4.4433593750e+01 5.9140721006e-04 2.7917133997e-04 3.9506475759e-05 2.7272939434e-04
4.4677734375e+01 5.4252607385e-04 2.5371764434e-04 3.6666312041e-05 2.5214211747e-04
4.4921875000e+01 5.0045760289e-04 2.2971657789e-04 3.4843091131e-05 2.3589793388e-04
4.5166015625e+01 4.6407890114e-04 2.0924839500e-04 3.3416200316e-05 2.2141430583e-04
4.5410156250e+01 4.3636962271e-04 1.9529467457e-04 3.1830424383e-05 2.0924452376e-04
4.5654296875e+01 4.0728617728e-04 1.8049218473e-04 3.0325322498e-05 1.9646867006e-04
4.5898437500e+01 3.8477105048e-04 1.6898526823e-04 2.9177205855e-05 1.8660857640e-04
4.6142578125e+01 3.6307878571e-04 1.5549356107e-04 2.9033870151e-05 1.7855135449e-04
4.6386718750e+01 3.5252256253e-04 1.4652900357e-04 2.9936684899e-05 1.7605687407e-04
4.6630859375e+01 3.4998324558e-04 1.4127062915e-04 3.1586610676e-05 1.7712600575e-04
4.6875000000e+01 3.5182948152e-04 1.3922791933e-04 3.3370125222e-05 1.7923143696e-04
4.7119140625e+01 3.5668345332e-04 1.3843409155e-04 3.5507573407e-05 1.8274178837e-04
4.7363281250e+01 3.6029704896e-04 1.3702557593e-04 3.7676755308e-05 1.8559471772e-04
4.7607421875e+01 3.5297357950e-04 1.3049384457e-04 3.9522594278e-05 1.8295714065e-04
4.7851562500e+01 3.4312745625e-04 1.2398592073e-04 4.1058480955e-05 1.7808305457e-04
4.8095703125e+01 3.3644150454e-04 1.1883185554e-04 4.3532735762e-05 1.7407691324e-04
4.8339843750e+01 3.3608772138e-04 1.1189672459e-04 4.8793377203e-05 1.7539761959e-04
4.8583984375e+01 3.4355920565e-04 1.0780786726e-04 5.5497197816e-05 1.8025414057e-04
4.8828125000e+01 3.5233350971e-04 1.0388433054e-04 6.2494679778e-05 1.8595449939e-04
4.9072265625e+01 3.5920392492e-04 9.7633854095e-05 6.9705746746e-05 1.9186432408e-04
4.9316406250e+01 3.6696171207e-04 9.2618654303e-05 7.6344692627e-05 1.9799836514e-04
4.9560546875e+01 3.7366215103e-04 8.8506174407e-05 8.1542637089e-05 2.0361333953e-04
4.9804687500e+01 3.7954024333e-04 8.6205011942e-05 8.5166022261e-05 2.0816920912e-04
5.0048828125e+01 3.8120900737e-04 8.4499131494e-05 8.7025791366e-05 2.0968408451e-04
5.0292968750e+01 3.7822317611e-04 8.1533066825e-05 8.7564974948e-05 2.0912513434e-04
5.0537109375e+01 3.6926551584e-04 7.7749482185e-05 8.6166938276e-05 2.0534909538e-04
5.0781250000e+01 3.6120392397e-04 7.6009348448e-05 8.3968088182e-05 2.0122648734e-04
5.1025390625e+01 3.5050874433e-04 7.3949891495e-05 8.0837491489e-05 1.9572136135e-04
5.1269531250e+01 3.3765335961e-04 7.1046195270e-05 7.7400482152e-05 1.8920668219e-04
5.1513671875e+01 3.2669699401e-04 6.8282608364e-05 7.4691140705e-05 1.8372324494e-04
5.1757812500e+01 3.1693904145e-04 6.5278574777e-05 7.2144460200e-05 1.7951600647e-04
5.2001953125e+01 3.0834708780e-04 6.3444695035e-05 6.9450975965e-05 1.7545141680e-04
5.2246093750e+01 3.0440115830e-04 6.0429550288e-05 6.8568056418e-05 1.7540355159e-04
5.2490234375e+01 3.1042305118e-04 5.9170714162e-05 6.9953855468e-05 1.8129848155e-04
5.2734375000e+01 3.1857561403e-04 5.7581364694e-05 7.1913419506e-05 1.8908082983e-04
5.2978515625e+01 3.1774591979e-04 5.5954057079e-05 7.1489483989e-05 1.9030237872e-04
5.3222656250e+01 3.0707461034e-04 5.4770794273e-05 6.8254463283e-05 1.8404935279e-04
5.3466796875e+01 2.8991293544e-04 5.3969571139e-05 6.3171065105e-05 1.7277229920e-04
5.3710937500e+01 2.6574602992e-04 5.3115332737e-05 5.5942553260e-05 1.5668814392e-04
5.3955078125e+01 2.3569862126e-04 5.1322522661e-05 4.7905526555e-05 1.3647057205e-04
5.4199218750e+01 2.0802789640e-04 4.9453566374e-05 4.0796409479e-05 1.1777792055e-04
5.4443359375e+01 1.8436537198e-04 4.8955765882e-05 3.4222238054e-05 1.0118736804e-04
5.4687500000e+01 1.6397593452e-04 4.7915644209e-05 2.8816212709e-05 8.7244077602e-05
5.4931640625e+01 1.4590818433e-04 4.6344000490e-05 2.3915251082e-05 7.5648932756e-05
5.5175781250e+01 1.3067433303e-04 4.5012111235e-05 1.9703852397e-05 6.5958369397e-05
5.5419921875e+01 1.1850027358e-04 4.3741257284e-05 1.6399529716e-05 5.8359486576e-05
5.5664062500e+01 1.0776535802e-04 4.1706890919e-05 1.3885213190e-05 5.2173253912e-05
5.5908203125e+01 9.5483885766e-05 3.7677651675e-05 1.1989489029e-05 4.5816745062e-05
5.6152343750e+01 8.4951510424e-05 3.4268745893e-05 1.0397120782e-05 4.0285643748e-05
5.6396484375e+01 7.5845449012e-05 3.1164825358e-05 9.0509359362e-06 3.5629687718e-05
5.6640625000e+01 6.6839830337e-05 2.7423264391e-05 7.9641877170e-06 3.1452378229e-05
5.6884765625e+01 5.9777800350e-05 2.4338196359e-05 7.1981730329e-06 2.8241430958e-05
5.7128906250e+01 5.5055607055e-05 2.2476368867e-05 6.6499223169e-06 2.5929315871e-05
5.7373046875e+01 5.2139326558e-05 2.1576511853e-05 6.0940347353e-06 2.4468779970e-05
5.7617187500e+01 5.0247683152e-05 2.1159266229e-05 5.5733285322e-06 2.3515088390e-05
5.7861328125e+01 4.8994482073e-05 2.0714811953e-05 5.2919242494e-06 2.2987745871e-05
5.8105468750e+01 4.8160535954e-05 2.0272027446e-05 5.1190986832e-06 2.2769409825e-05
5.8349609375e+01 4.4452461271e-05 1.8566202956e-05 4.5954021578e-06 2.1290856158e-05
5.8593750000e+01 3.9866831006e-05 1.6428433879e-05 4.0630890755e-06 1.9375308052e-05
5.8837890625e+01 3.6018903707e-05 1.4819322516e-05 3.6079815231e-06 1.7591599667e-05
