# freq_THz  G_total_s  G_B_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.4414062500e-01 8.8633395400e-02 1.5897473309e-03 5.5599371163e-02 3.1444276907e-02
4.8828125000e-01 1.1097551133e-01 1.8791265164e-03 6.9710868940e-02 3.9385515872e-02
7.3242187500e-01 1.3508596497e-01 2.1426710409e-03 8.4973145895e-02 4.7970148034e-02
9.7656250000e-01 1.5513207269e-01 2.3142520337e-03 9.7688200367e-02 5.5129620290e-02
1.2207031250e+00 1.7088067265e-01 2.4270013809e-03 1.0768396652e-01 6.0769704750e-02
1.4648437500e+00 1.8367083222e-01 2.5195775097e-03 1.1581342320e-01 6.5337831504e-02
1.7089843750e+00 1.9463076640e-01 2.6063398444e-03 1.2282910362e-01 6.9195322937e-02
1.9531250000e+00 2.0484497864e-01 2.6925447946e-03 1.2946780762e-01 7.2684626222e-02
2.1972656250e+00 2.1538115297e-01 2.7824385841e-03 1.3646212725e-01 7.6136587139e-02
2.4414062500e+00 2.2692149049e-01 2.8757290643e-03 1.4432029425e-01 7.9725467175e-02
2.6855468750e+00 2.3984983922e-01 2.9670855839e-03 1.5340306259e-01 8.3479691045e-02
2.9296875000e+00 2.5482339612e-01 3.0520608193e-03 1.6431227599e-01 8.7459059317e-02
3.1738281250e+00 2.7231654582e-01 3.1341936062e-03 1.7758053798e-01 9.1601814235e-02
3.4179687500e+00 2.8997014454e-01 3.2212817379e-03 1.9181817214e-01 9.4930690658e-02
3.6621093750e+00 3.0095887040e-01 3.3172995074e-03 2.0238141289e-01 9.5260158007e-02
3.9062500000e+00 2.9795670523e-01 3.4320882728e-03 2.0375297369e-01 9.0771643269e-02
4.1503906250e+00 2.7953497645e-01 3.6064437627e-03 1.9383991396e-01 8.2088618727e-02
4.3945312500e+00 2.5104900310e-01 3.9391866757e-03 1.7492611418e-01 7.2183702242e-02
4.6386718750e+00 2.2019399923e-01 4.5925833533e-03 1.5118927290e-01 6.4412142970e-02
4.8828125000e+00 1.9377093998e-01 5.6944806959e-03 1.2715069483e-01 6.0925764449e-02
5.1269531250e+00 1.7619274798e-01 7.1145851051e-03 1.0723619072e-01 6.1841972159e-02
5.3710937500e+00 1.6740127137e-01 8.3627056344e-03 9.4045053306e-02 6.4993512427e-02
5.6152343750e+00 1.6339972832e-01 8.8779304242e-03 8.7108031254e-02 6.7413766639e-02
5.8593750000e+00 1.6091762719e-01 8.4703215791e-03 8.4463746565e-02 6.7983559049e-02
6.1035156250e+00 1.6087734729e-01 7.4116866461e-03 8.4988047288e-02 6.8477613351e-02
6.3476562500e+00 1.6730926046e-01 6.1564944005e-03 8.8965362953e-02 7.2187403105e-02
6.5917968750e+00 1.8413885005e-01 5.0763906671e-03 9.7329985672e-02 8.1732473714e-02
6.8359375000e+00 2.1265425680e-01 4.3682295130e-03 1.1069619752e-01 9.7589829768e-02
7.0800781250e+00 2.5100414015e-01 4.0505088195e-03 1.2873760073e-01 1.1821603060e-01
7.3242187500e+00 2.9540629106e-01 4.0172457135e-03 1.5012405814e-01 1.4126498720e-01
7.5683593750e+00 3.4052227440e-01 4.1370071229e-03 1.7233822685e-01 1.6404704043e-01
7.8125000000e+00 3.7873582662e-01 4.3165633858e-03 1.9138490072e-01 1.8303436250e-01
8.0566406250e+00 4.0194082361e-01 4.4943890124e-03 2.0299909939e-01 1.9444733520e-01
8.3007812500e+00 4.0651079974e-01 4.6215368265e-03 2.0536676887e-01 1.9652249404e-01
8.5449218750e+00 3.9622845769e-01 4.6717375705e-03 2.0051771530e-01 1.9103900482e-01
8.7890625000e+00 3.7914056694e-01 4.6525321850e-03 1.9254037794e-01 1.8194765682e-01
9.0332031250e+00 3.6177250577e-01 4.5877268938e-03 1.8459746740e-01 1.7258731147e-01
9.2773437500e+00 3.4682812877e-01 4.4930404782e-03 1.7777637118e-01 1.6455871711e-01
9.5214843750e+00 3.3473714874e-01 4.3713355237e-03 1.7195730240e-01 1.5840851082e-01
9.7656250000e+00 3.2530582139e-01 4.2229353906e-03 1.6692185315e-01 1.5416103286e-01
1.0009765625e+01 3.1814702784e-01 4.0577751990e-03 1.6270913908e-01 1.5138011356e-01
1.0253906250e+01 3.1275392030e-01 3.8935275277e-03 1.5932921770e-01 1.4953117507e-01
1.0498046875e+01 3.0838204672e-01 3.7380604909e-03 1.5637726579e-01 1.4826672044e-01
1.0742187500e+01 3.0376521107e-01 3.5825757340e-03 1.5310188949e-01 1.4708074584e-01
1.0986328125e+01 2.9715780540e-01 3.4168797529e-03 1.4887382008e-01 1.4486710556e-01
1.1230468750e+01 2.8648772345e-01 3.2413740466e-03 1.4331963610e-01 1.3992671330e-01
1.1474609375e+01 2.6946088760e-01 3.0613495884e-03 1.3597552269e-01 1.3042401532e-01
1.1718750000e+01 2.4470573505e-01 2.8819747437e-03 1.2640080406e-01 1.1542295624e-01
1.1962890625e+01 2.1385973725e-01 2.7115611384e-03 1.1501803257e-01 9.6130143544e-02
1.2207031250e+01 1.8198280565e-01 2.5600168508e-03 1.0349254649e-01 7.5930242312e-02
1.2451171875e+01 1.5478104881e-01 2.4293701865e-03 9.3811771312e-02 5.8539907309e-02
1.2695312500e+01 1.3505270503e-01 2.3075923045e-03 8.6965688433e-02 4.5779424294e-02
1.2939453125e+01 1.2210533264e-01 2.1808669901e-03 8.2764127076e-02 3.7160338576e-02
1.3183593750e+01 1.1415079490e-01 2.0565453115e-03 8.0735077794e-02 3.1359171792e-02
1.3427734375e+01 1.1013624652e-01 1.9620267122e-03 8.0688550868e-02 2.7485668938e-02
1.3671875000e+01 1.0952927931e-01 1.9176524324e-03 8.2538684071e-02 2.5072942810e-02
1.3916015625e+01 1.1185464522e-01 1.9250642337e-03 8.6224129138e-02 2.3705451849e-02
1.4160156250e+01 1.1701138843e-01 1.9820157184e-03 9.2015950484e-02 2.3013422231e-02
1.4404296875e+01 1.2549178138e-01 2.0903853298e-03 1.0064527565e-01 2.2756120401e-02
1.4648437500e+01 1.3793217223e-01 2.2427399055e-03 1.1294488431e-01 2.2744548011e-02
1.4892578125e+01 1.5421919793e-01 2.4117172262e-03 1.2905193365e-01 2.2755547057e-02
1.5136718750e+01 1.7218121192e-01 2.5619089948e-03 1.4707688196e-01 2.2542420962e-02
1.5380859375e+01 1.8637238233e-01 2.6675767938e-03 1.6184774184e-01 2.1857063697e-02
1.5625000000e+01 1.8909016716e-01 2.7197124126e-03 1.6589379722e-01 2.0476657526e-02
1.5869140625e+01 1.7501974124e-01 2.7462909335e-03 1.5391667137e-01 1.8356778937e-02
1.6113281250e+01 1.4620971734e-01 2.8493693906e-03 1.2752357869e-01 1.5836769259e-02
1.6357421875e+01 1.1170628749e-01 3.1807378468e-03 9.4946387312e-02 1.3579162335e-02
1.6601562500e+01 8.1404874153e-02 3.8062965687e-03 6.5449157008e-02 1.2149420577e-02
1.6845703125e+01 6.0248576335e-02 4.5963091567e-03 4.4008948895e-02 1.1643318284e-02
1.7089843750e+01 4.7937605225e-02 5.3619357419e-03 3.0715214593e-02 1.1860454890e-02
1.7333984375e+01 4.2775297867e-02 6.1886643434e-03 2.3678511842e-02 1.2908121682e-02
