# freq_THz  G_total  G_Al  G_N  G_Ga
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.4414062500e-01 1.3863410187e-01 7.1073226896e-02 4.2988095434e-02 2.4572779540e-02
4.8828125000e-01 1.7816026172e-01 9.1750678099e-02 5.6084925280e-02 3.0324658342e-02
7.3242187500e-01 1.8942037976e-01 9.8258872190e-02 6.0816286687e-02 3.0345220887e-02
9.7656250000e-01 1.9640685337e-01 1.0291748710e-01 6.4256262614e-02 2.9233103655e-02
1.2207031250e+00 2.0029093493e-01 1.0572695760e-01 6.6818262057e-02 2.7745715274e-02
1.4648437500e+00 2.0347467057e-01 1.0809014714e-01 6.9129385513e-02 2.6255137917e-02
1.7089843750e+00 2.2693387618e-01 1.2082931975e-01 7.8119734279e-02 2.7984822151e-02
1.9531250000e+00 2.3288282326e-01 1.2431174517e-01 8.1581805385e-02 2.6989272709e-02
2.1972656250e+00 2.4589384747e-01 1.3105377358e-01 8.7037568825e-02 2.7802505060e-02
2.4414062500e+00 2.6632927764e-01 1.4177280895e-01 9.5124682790e-02 2.9431785897e-02
2.6855468750e+00 2.8073874902e-01 1.5017113997e-01 1.0064514693e-01 2.9922462115e-02
2.9296875000e+00 2.9672083096e-01 1.5956723893e-01 1.0588594393e-01 3.1267648110e-02
3.1738281250e+00 3.2526160385e-01 1.7686902362e-01 1.1476812499e-01 3.3624455234e-02
3.4179687500e+00 3.4509846129e-01 1.9206455719e-01 1.1938620667e-01 3.3647697437e-02
3.6621093750e+00 3.6668337224e-01 2.1115397008e-01 1.2367932048e-01 3.1850081682e-02
3.9062500000e+00 3.7026448349e-01 2.1611861016e-01 1.2003909272e-01 3.4106780605e-02
4.1503906250e+00 3.2278166164e-01 1.8618715239e-01 9.9736971550e-02 3.6857537699e-02
4.3945312500e+00 2.7229473153e-01 1.5331855290e-01 7.9412265529e-02 3.9563913108e-02
4.6386718750e+00 2.4162629788e-01 1.3250436433e-01 6.5831051904e-02 4.3290881648e-02
4.8828125000e+00 2.1281845913e-01 1.1403670995e-01 5.4007463566e-02 4.4774285611e-02
5.1269531250e+00 1.8549569258e-01 9.6767679278e-02 4.5465078768e-02 4.3262934533e-02
5.3710937500e+00 1.6014549185e-01 7.7917044170e-02 4.2361580341e-02 3.9866867343e-02
5.6152343750e+00 1.7705298310e-01 8.2715712666e-02 5.5214779754e-02 3.9122490683e-02
5.8593750000e+00 2.1150033203e-01 9.5231745680e-02 7.8048821609e-02 3.8219764739e-02
6.1035156250e+00 2.4390026258e-01 1.0754913094e-01 1.0025069229e-01 3.6100439345e-02
6.3476562500e+00 2.7628793870e-01 1.2177569712e-01 1.2111400593e-01 3.3398235656e-02
6.5917968750e+00 3.0140123487e-01 1.3349507921e-01 1.3929065963e-01 2.8615496038e-02
6.8359375000e+00 3.2173539098e-01 1.4957847316e-01 1.4891064004e-01 2.3246277782e-02
7.0800781250e+00 3.4522571685e-01 1.7062860118e-01 1.5547864392e-01 1.9118471742e-02
7.3242187500e+00 3.7053487926e-01 1.8763854117e-01 1.6780642542e-01 1.5089912676e-02
7.5683593750e+00 3.8998080931e-01 2.0000083905e-01 1.7835949792e-01 1.1620472345e-02
7.8125000000e+00 4.2366515182e-01 2.1482208553e-01 1.9885529688e-01 9.9877694000e-03
8.0566406250e+00 4.4913639070e-01 2.2029931794e-01 2.2015944001e-01 8.6776327553e-03
8.3007812500e+00 4.3591624210e-01 2.1292833469e-01 2.1506235916e-01 7.9255482479e-03
8.5449218750e+00 4.0639715783e-01 2.0187521848e-01 1.9679439693e-01 7.7275424145e-03
8.7890625000e+00 3.8444900607e-01 1.9333212632e-01 1.8384089947e-01 7.2759802867e-03
9.0332031250e+00 3.5724766044e-01 1.8106093162e-01 1.6950655059e-01 6.6801782305e-03
9.2773437500e+00 3.3740552835e-01 1.7072719236e-01 1.6056081207e-01 6.1175239164e-03
9.5214843750e+00 3.2518596544e-01 1.6689032204e-01 1.5238695609e-01 5.9086873056e-03
9.7656250000e+00 3.0847285502e-01 1.5967877376e-01 1.4330398909e-01 5.4900921659e-03
1.0009765625e+01 2.9740268759e-01 1.5508421880e-01 1.3694184820e-01 5.3766205796e-03
1.0253906250e+01 2.9148326094e-01 1.5254134632e-01 1.3377754308e-01 5.1643715412e-03
1.0498046875e+01 2.7787212199e-01 1.4587806613e-01 1.2726249261e-01 4.7315632394e-03
1.0742187500e+01 2.6831607698e-01 1.4211358943e-01 1.2153774822e-01 4.6647393214e-03
1.0986328125e+01 2.5773362574e-01 1.3636195281e-01 1.1687974202e-01 4.4919309136e-03
1.1230468750e+01 2.4666841821e-01 1.3016295098e-01 1.1219032771e-01 4.3151395245e-03
1.1474609375e+01 2.2684246735e-01 1.1876684459e-01 1.0387042880e-01 4.2051939589e-03
1.1718750000e+01 2.0340585568e-01 1.0555851505e-01 9.3512904629e-02 4.3344360064e-03
1.1962890625e+01 1.7842653935e-01 9.6973385615e-02 7.6780375394e-02 4.6727783412e-03
1.2207031250e+01 1.3671986717e-01 8.5302115892e-02 4.6339273705e-02 5.0784775779e-03
1.2451171875e+01 1.1006117889e-01 7.8069534390e-02 2.6653716899e-02 5.3379275983e-03
1.2695312500e+01 1.0972090913e-01 8.0399609448e-02 2.3641749964e-02 5.6795497183e-03
1.2939453125e+01 1.1142666946e-01 8.3145018235e-02 2.2587851850e-02 5.6937993770e-03
1.3183593750e+01 1.1845721412e-01 8.9976676229e-02 2.2629432003e-02 5.8511058832e-03
1.3427734375e+01 1.2816618274e-01 9.9148823783e-02 2.2976174583e-02 6.0411843747e-03
1.3671875000e+01 1.3788414027e-01 1.0873912661e-01 2.3086862774e-02 6.0581508879e-03
