# freq_THz  G_total_s  G_Al_s  G_N_s  G_Ga_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.4414062500e-01 1.2913609895e-01 6.6575273623e-02 4.0700984982e-02 2.1859840347e-02
4.8828125000e-01 1.5432581737e-01 7.9885994811e-02 4.9152495286e-02 2.5287327276e-02
7.3242187500e-01 1.7738850587e-01 9.2333603428e-02 5.7278955465e-02 2.7775946976e-02
9.7656250000e-01 1.9236220121e-01 1.0077244038e-01 6.3120739279e-02 2.8469021552e-02
1.2207031250e+00 2.0247189544e-01 1.0674143987e-01 6.7594514583e-02 2.8135940992e-02
1.4648437500e+00 2.1220778452e-01 1.1245057497e-01 7.2054136039e-02 2.7703073514e-02
1.7089843750e+00 2.2349349104e-01 1.1883503086e-01 7.7066592049e-02 2.7591868123e-02
1.9531250000e+00 2.3632268306e-01 1.2589755389e-01 8.2575067668e-02 2.7850061500e-02
2.1972656250e+00 2.5056171724e-01 1.3367179176e-01 8.8448010361e-02 2.8441915113e-02
2.4414062500e+00 2.6635273914e-01 1.4244363798e-01 9.4591369747e-02 2.9317731407e-02
2.6855468750e+00 2.8380519140e-01 1.5256762932e-01 1.0085362390e-01 3.0383938181e-02
2.9296875000e+00 3.0285475739e-01 1.6435497795e-01 1.0700983632e-01 3.1489943129e-02
3.1738281250e+00 3.2229462168e-01 1.7739824961e-01 1.1246909129e-01 3.2427280777e-02
3.4179687500e+00 3.3842968747e-01 1.8942865539e-01 1.1586783434e-01 3.3133197737e-02
3.6621093750e+00 3.4518643820e-01 1.9605391172e-01 1.1520310764e-01 3.3929418841e-02
3.9062500000e+00 3.3701835650e-01 1.9283373186e-01 1.0890010919e-01 3.5284515443e-02
4.1503906250e+00 3.1363612587e-01 1.7897466371e-01 9.7350405916e-02 3.7311056247e-02
4.3945312500e+00 2.8128447652e-01 1.5847854534e-01 8.3186878411e-02 3.9619052764e-02
4.6386718750e+00 2.4799444111e-01 1.3680417159e-01 6.9669477030e-02 4.1520792493e-02
4.8828125000e+00 2.1915986284e-01 1.1748816165e-01 5.9297268803e-02 4.2374432389e-02
5.1269531250e+00 1.9854660986e-01 1.0249981955e-01 5.4048220868e-02 4.1998569441e-02
5.3710937500e+00 1.9036062864e-01 9.3840222127e-02 5.5739533154e-02 4.0780873360e-02
5.6152343750e+00 1.9722049099e-01 9.2909947679e-02 6.5090994585e-02 3.9219548726e-02
5.8593750000e+00 2.1698520836e-01 9.8935414309e-02 8.0636888159e-02 3.7412905894e-02
6.1035156250e+00 2.4376312345e-01 1.0946954778e-01 9.9209109560e-02 3.5084466112e-02
6.3476562500e+00 2.7187841084e-01 1.2237810201e-01 1.1753142031e-01 3.1968888517e-02
6.5917968750e+00 2.9839089994e-01 1.3681728896e-01 1.3346896383e-01 2.8104647157e-02
6.8359375000e+00 3.2304582431e-01 1.5257275211e-01 1.4661948956e-01 2.3853582650e-02
7.0800781250e+00 3.4686076083e-01 1.6894722997e-01 1.5822223013e-01 1.9691300726e-02
7.3242187500e+00 3.7063183956e-01 1.8453558939e-01 1.7009644378e-01 1.5999806393e-02
7.5683593750e+00 3.9372799182e-01 1.9771408951e-01 1.8299831390e-01 1.3015588416e-02
7.8125000000e+00 4.1287299649e-01 2.0680740447e-01 1.9524339485e-01 1.0822197170e-02
8.0566406250e+00 4.2266342798e-01 2.1035141920e-01 2.0297141858e-01 9.3405901977e-03
8.3007812500e+00 4.1949954801e-01 2.0809230219e-01 2.0302339710e-01 8.3838487144e-03
8.5449218750e+00 4.0500816492e-01 2.0143937111e-01 1.9583194570e-01 7.7368481045e-03
8.7890625000e+00 3.8450057638e-01 1.9252858165e-01 1.8475131153e-01 7.2206831942e-03
9.0332031250e+00 3.6305826737e-01 1.8319749297e-01 1.7311469460e-01 6.7460798005e-03
9.2773437500e+00 3.4358308493e-01 1.7468167383e-01 1.6259046652e-01 6.3109445873e-03
9.5214843750e+00 3.2694002413e-01 1.6750237083e-01 1.5349930724e-01 5.9383460594e-03
9.7656250000e+00 3.1288204708e-01 1.6153574378e-01 1.4571692078e-01 5.6293825168e-03
1.0009765625e+01 3.0080795916e-01 1.5637380534e-01 1.3907147249e-01 5.3626813224e-03
1.0253906250e+01 2.8988890520e-01 1.5155307035e-01 1.3321987312e-01 5.1159617316e-03
1.0498046875e+01 2.7923140823e-01 1.4663864558e-01 1.2770611154e-01 4.8866511019e-03
1.0742187500e+01 2.6812486634e-01 1.4123671545e-01 1.2220055967e-01 4.6875912204e-03
1.0986328125e+01 2.5572287501e-01 1.3485841785e-01 1.1633447572e-01 4.5299814454e-03
1.1230468750e+01 2.4075545727e-01 1.2700766137e-01 1.0931706849e-01 4.4307274047e-03
1.1474609375e+01 2.2200157067e-01 1.1765910464e-01 9.9919175249e-02 4.4232907836e-03
1.1718750000e+01 1.9907255821e-01 1.0753900680e-01 8.6998111016e-02 4.5354403929e-03
1.1962890625e+01 1.7326249994e-01 9.7858249665e-02 7.0648043850e-02 4.7562064299e-03
1.2207031250e+01 1.4831241404e-01 8.9994470690e-02 5.3283581188e-02 5.0343621651e-03
1.2451171875e+01 1.2930031148e-01 8.5255782878e-02 3.8735698108e-02 5.3088304973e-03
1.2695312500e+01 1.1933912962e-01 8.4360958944e-02 2.9439165979e-02 5.5390046941e-03
1.2939453125e+01 1.1782625840e-01 8.7132333602e-02 2.4979842266e-02 5.7140825348e-03
1.3183593750e+01 1.2209696260e-01 9.2854540999e-02 2.3408392686e-02 5.8340289155e-03
1.3427734375e+01 1.2963727561e-01 1.0073027639e-01 2.3032240569e-02 5.8747586523e-03
1.3671875000e+01 1.3883720283e-01 1.1011303292e-01 2.2942224111e-02 5.7819458002e-03
1.3916015625e+01 1.4904078046e-01 1.2078773327e-01 2.2745658851e-02 5.5073883310e-03
1.4160156250e+01 1.6072525602e-01 1.3338027821e-01 2.2300312695e-02 5.0446651167e-03
1.4404296875e+01 1.7528489612e-01 1.4925070437e-01 2.1603069599e-02 4.4311221519e-03
1.4648437500e+01 1.9298603283e-01 1.6858837297e-01 2.0672015977e-02 3.7256438759e-03
1.4892578125e+01 2.0954776918e-01 1.8716082958e-01 1.9397272039e-02 2.9896675557e-03
1.5136718750e+01 2.1554847476e-01 1.9571955468e-01 1.7545565457e-02 2.2833546183e-03
1.5380859375e+01 2.0174851358e-01 1.8512828958e-01 1.4962049580e-02 1.6581744205e-03
1.5625000000e+01 1.6652234652e-01 1.5360495965e-01 1.1775636051e-02 1.1417508200e-03
1.5869140625e+01 1.1844750765e-01 1.0926609921e-01 8.4411297370e-03 7.4027870252e-04
1.6113281250e+01 7.1621361326e-02 6.5609590383e-02 5.5586715232e-03 4.5309941892e-04
1.6357421875e+01 3.7147447189e-02 3.3335315268e-02 3.5402129844e-03 2.7191893641e-04
1.6601562500e+01 1.7600375927e-02 1.5029174638e-02 2.3982250940e-03 1.7297619514e-04
1.6845703125e+01 8.8204354137e-03 6.8362878512e-03 1.8600209543e-03 1.2412660822e-04
1.7089843750e+01 5.4535779174e-03 3.7229334971e-03 1.6311444308e-03 9.9499989484e-05
1.7333984375e+01 4.1638462424e-03 2.5458234291e-03 1.5330354546e-03 8.4987358665e-05
1.7578125000e+01 3.5708760605e-03 2.0067318217e-03 1.4893731802e-03 7.4771058635e-05
1.7822265625e+01 3.2310551518e-03 1.6914788728e-03 1.4728789808e-03 6.6697298193e-05
1.8066406250e+01 3.0060868803e-03 1.4741947129e-03 1.4720521888e-03 5.9839978627e-05
1.8310546875e+01 2.8422534604e-03 1.3088692099e-03 1.4795727421e-03 5.3811508430e-05
1.8554687500e+01 2.7152326134e-03 1.1756851780e-03 1.4910023060e-03 4.8545129388e-05
1.8798828125e+01 2.6146476998e-03 1.0657572600e-03 1.5048792830e-03 4.4011156827e-05
1.9042968750e+01 2.5367415648e-03 9.7486332262e-04 1.5217479003e-03 4.0130341854e-05
1.9287109375e+01 2.4814426854e-03 9.0045136999e-04 1.5440803052e-03 3.6911010177e-05
1.9531250000e+01 2.4505841219e-03 8.3916992312e-04 1.5769478305e-03 3.4466368223e-05
1.9775390625e+01 2.4466715538e-03 7.8591641034e-04 1.6278670194e-03 3.2888124087e-05
2.0019531250e+01 2.4758631974e-03 7.3604203235e-04 1.7076166390e-03 3.2204525983e-05
2.0263671875e+01 2.5576436424e-03 6.8846095711e-04 1.8367455190e-03 3.2437166336e-05
2.0507812500e+01 2.7618150701e-03 6.4677472954e-04 2.0813301876e-03 3.3710152980e-05
2.0751953125e+01 3.3905717732e-03 6.1987381349e-04 2.7340972846e-03 3.6600675147e-05
2.0996093750e+01 5.5920722511e-03 6.2934495374e-04 4.9192669157e-03 4.3460381640e-05
2.1240234375e+01 1.2432168404e-02 7.3459463684e-04 1.1635393525e-02 6.2180242130e-05
2.1484375000e+01 2.8906787616e-02 1.0702947020e-03 2.7723933234e-02 1.1255968062e-04
2.1728515625e+01 5.8469760686e-02 1.8469113275e-03 5.6392575257e-02 2.3027410136e-04
2.1972656250e+01 9.8226272756e-02 3.2627701628e-03 9.4502601070e-02 4.6090152289e-04
2.2216796875e+01 1.4011434481e-01 5.3822110084e-03 1.3388749308e-01 8.4464071759e-04
2.2460937500e+01 1.7827662467e-01 8.1166316657e-03 1.6875982600e-01 1.4001669979e-03
2.2705078125e+01 2.1275941417e-01 1.1337898812e-02 1.9931089837e-01 2.1106169941e-03
2.2949218750e+01 2.4526922562e-01 1.4980124022e-02 2.2737747018e-01 2.9116314174e-03
2.3193359375e+01 2.7318845283e-01 1.8980887475e-02 2.5052028030e-01 3.6872850570e-03
2.3437500000e+01 2.8900699922e-01 2.3126295756e-02 2.6159780997e-01 4.2828934932e-03
2.3681640625e+01 2.8686610261e-01 2.7060645219e-02 2.5524907204e-01 4.5563853461e-03
2.3925781250e+01 2.6946489195e-01 3.0545819501e-02 2.3444493798e-01 4.4741344671e-03
2.4169921875e+01 2.4674035711e-01 3.3685260337e-02 2.0888665393e-01 4.1684428475e-03
2.4414062500e+01 2.2839094025e-01 3.6871212641e-02 1.8765709813e-01 3.8626294844e-03
2.4658203125e+01 2.1958191513e-01 4.0704462546e-02 1.7514614758e-01 3.7313050071e-03
2.4902343750e+01 2.2372384413e-01 4.6397795135e-02 1.7348385534e-01 3.8421936584e-03
2.5146484375e+01 2.4861090306e-01 5.6776470943e-02 1.8767862344e-01 4.1558086683e-03
2.5390625000e+01 3.1018730788e-01 7.7128322506e-02 2.2858296656e-01 4.4760188114e-03
2.5634765625e+01 4.2603773487e-01 1.1329127922e-01 3.0826974388e-01 4.4767117712e-03
2.5878906250e+01 5.8894209584e-01 1.6362912308e-01 4.2135641155e-01 3.9565612075e-03
2.6123046875e+01 7.3847549580e-01 2.1046720043e-01 5.2495407771e-01 3.0542176573e-03
2.6367187500e+01 7.8721319895e-01 2.2784818716e-01 5.5725989180e-01 2.1051199826e-03
2.6611328125e+01 7.0172378536e-01 2.0539929196e-01 4.9497888072e-01 1.3456126709e-03
2.6855468750e+01 5.3350203418e-01 1.5765377209e-01 3.7502660081e-01 8.2166127511e-04
2.7099609375e+01 3.5679034911e-01 1.0625592887e-01 2.5005111836e-01 4.8330187617e-04
2.7343750000e+01 2.1186392696e-01 6.3416375379e-02 1.4817439064e-01 2.7316094172e-04
2.7587890625e+01 1.0972699015e-01 3.2911726038e-02 7.6664843163e-02 1.5042095439e-04
2.7832031250e+01 4.9158047831e-02 1.4727649250e-02 3.4344892853e-02 8.5505728010e-05
2.8076171875e+01 2.0161175250e-02 6.0067112468e-03 1.4099676046e-02 5.4787956656e-05
2.8320312500e+01 8.9581537181e-03 2.6409646383e-03 6.2761214777e-03 4.1067602078e-05
2.8564453125e+01 5.1996355280e-03 1.5177853461e-03 3.6474045298e-03 3.4445652100e-05
2.8808593750e+01 3.8700492142e-03 1.1249504726e-03 2.7145609259e-03 3.0537815744e-05
2.9052734375e+01 3.2383813541e-03 9.4068765883e-04 2.2699318303e-03 2.7761864935e-05
2.9296875000e+01 2.8341373870e-03 8.2359721307e-04 1.9849796824e-03 2.5560491520e-05
2.9541015625e+01 2.5359979293e-03 7.3723218320e-04 1.7750664826e-03 2.3699263569e-05
2.9785156250e+01 2.3023982402e-03 6.6881565282e-04 1.6114977473e-03 2.2084840073e-05
3.0029296875e+01 2.1117706225e-03 6.1157275337e-04 1.4795073053e-03 2.0690563873e-05
3.0273437500e+01 1.9490043750e-03 5.6098008344e-04 1.3685384938e-03 1.9485797745e-05
3.0517578125e+01 1.8027129061e-03 5.1399769649e-04 1.2702863854e-03 1.8428824266e-05
3.0761718750e+01 1.6684548935e-03 4.6995430224e-04 1.1810011462e-03 1.7499445096e-05
3.1005859375e+01 1.5480518237e-03 4.3021451811e-04 1.1011439949e-03 1.6693310660e-05
