# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.4414062500e-01 1.9044259855e-01 1.4229818042e-01 4.8144418130e-02
4.8828125000e-01 2.2248966500e-01 1.6545828180e-01 5.7031383201e-02
7.3242187500e-01 1.9685963799e-01 1.3825801222e-01 5.8601625764e-02
9.7656250000e-01 1.8329362171e-01 1.2538665675e-01 5.7906964962e-02
1.2207031250e+00 1.8373074480e-01 1.2401756639e-01 5.9713178406e-02
1.4648437500e+00 1.9477274354e-01 1.3073065142e-01 6.4042092122e-02
1.7089843750e+00 1.9475966232e-01 1.3036911096e-01 6.4390551362e-02
1.9531250000e+00 2.0752020679e-01 1.3918512487e-01 6.8335081924e-02
2.1972656250e+00 2.2826277229e-01 1.5378102540e-01 7.4481746894e-02
2.4414062500e+00 2.5064553266e-01 1.6993559559e-01 8.0709937067e-02
2.6855468750e+00 2.7380603608e-01 1.8861052308e-01 8.5195512994e-02
2.9296875000e+00 3.0677571427e-01 2.1615428903e-01 9.0621425247e-02
3.1738281250e+00 3.1284046597e-01 2.1962458720e-01 9.3215878770e-02
3.4179687500e+00 3.2169211145e-01 2.2157774332e-01 1.0011436813e-01
3.6621093750e+00 3.6346698267e-01 2.5033951000e-01 1.1312747267e-01
3.9062500000e+00 4.0104471150e-01 2.7931364493e-01 1.2173106657e-01
4.1503906250e+00 3.3852494722e-01 2.3866813252e-01 9.9856814708e-02
4.3945312500e+00 2.7412741946e-01 1.9689141511e-01 7.7236004343e-02
4.6386718750e+00 2.4748739056e-01 1.8099685030e-01 6.6490540255e-02
4.8828125000e+00 2.1335295860e-01 1.5930042064e-01 5.4052537956e-02
5.1269531250e+00 1.8671016957e-01 1.4245818560e-01 4.4251983963e-02
5.3710937500e+00 1.5275351477e-01 1.1397146943e-01 3.8782045339e-02
5.6152343750e+00 1.4063119677e-01 1.0095953492e-01 3.9671661841e-02
5.8593750000e+00 1.4775124150e-01 1.0595807135e-01 4.1793170149e-02
6.1035156250e+00 1.6185616500e-01 1.1595731285e-01 4.5898852144e-02
