# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.4414062500e-01 1.5960871274e-01 1.1735164303e-01 4.2257069708e-02
4.8828125000e-01 1.7844639356e-01 1.2926244154e-01 4.9183952026e-02
7.3242187500e-01 1.8977708676e-01 1.3468556131e-01 5.5091525448e-02
9.7656250000e-01 1.9182279167e-01 1.3319131992e-01 5.8631471747e-02
1.2207031250e+00 1.9206678871e-01 1.3102881581e-01 6.1037972906e-02
1.4648437500e+00 1.9551358850e-01 1.3202232439e-01 6.3491264106e-02
1.7089843750e+00 2.0332788209e-01 1.3681336498e-01 6.6514517113e-02
1.9531250000e+00 2.1581797824e-01 1.4543573219e-01 7.0382246054e-02
2.1972656250e+00 2.3293098980e-01 1.5785195447e-01 7.5079035334e-02
2.4414062500e+00 2.5351318617e-01 1.7330688644e-01 8.0206299725e-02
2.6855468750e+00 2.7538682059e-01 1.9002832866e-01 8.5358491934e-02
2.9296875000e+00 2.9637648406e-01 2.0581133900e-01 9.0565145059e-02
3.1738281250e+00 3.1592450381e-01 2.1972725251e-01 9.6197251300e-02
3.4179687500e+00 3.3416073754e-01 2.3220683326e-01 1.0195390428e-01
3.6621093750e+00 3.4694185309e-01 2.4133003147e-01 1.0561182162e-01
3.9062500000e+00 3.4516590469e-01 2.4136691851e-01 1.0379898618e-01
4.1503906250e+00 3.2397898122e-01 2.2876960119e-01 9.5209380039e-02
4.3945312500e+00 2.8953023020e-01 2.0724179047e-01 8.2288439724e-02
4.6386718750e+00 2.5248630066e-01 1.8358790876e-01 6.8898391899e-02
4.8828125000e+00 2.1900430335e-01 1.6147681267e-01 5.7527490686e-02
5.1269531250e+00 1.9086482193e-01 1.4167401496e-01 4.9190806968e-02
5.3710937500e+00 1.6987714451e-01 1.2551994537e-01 4.4357199133e-02
5.6152343750e+00 1.5856146111e-01 1.1535555675e-01 4.3205904362e-02
5.8593750000e+00 1.5791122282e-01 1.1193380823e-01 4.5977414593e-02
6.1035156250e+00 1.6722589383e-01 1.1349803270e-01 5.3727861124e-02
6.3476562500e+00 1.8610752391e-01 1.1818036827e-01 6.7927155636e-02
6.5917968750e+00 2.1440170342e-01 1.2601396653e-01 8.8387736895e-02
6.8359375000e+00 2.5090399745e-01 1.3830029131e-01 1.1260370615e-01
7.0800781250e+00 2.9481712239e-01 1.5631119112e-01 1.3850593127e-01
7.3242187500e+00 3.4671808957e-01 1.8020442557e-01 1.6651366399e-01
7.5683593750e+00 4.0397611424e-01 2.0722765490e-01 1.9674845934e-01
7.8125000000e+00 4.5520276252e-01 2.3071911088e-01 2.2448365164e-01
8.0566406250e+00 4.8368303286e-01 2.4294784400e-01 2.4073518886e-01
8.3007812500e+00 4.8047978937e-01 2.4081591819e-01 2.3966387118e-01
8.5449218750e+00 4.5285955790e-01 2.2833965522e-01 2.2451990268e-01
8.7890625000e+00 4.1699376107e-01 2.1272494096e-01 2.0426882011e-01
9.0332031250e+00 3.8474020867e-01 1.9885687127e-01 1.8588333740e-01
9.2773437500e+00 3.5931964465e-01 1.8784079030e-01 1.7147885434e-01
9.5214843750e+00 3.3961321988e-01 1.7907967257e-01 1.6053354731e-01
9.7656250000e+00 3.2444659523e-01 1.7217423815e-01 1.5227235709e-01
1.0009765625e+01 3.1309707569e-01 1.6701987370e-01 1.4607720199e-01
1.0253906250e+01 3.0427813706e-01 1.6316844781e-01 1.4110968924e-01
1.0498046875e+01 2.9626171885e-01 1.5976628031e-01 1.3649543854e-01
1.0742187500e+01 2.8772468555e-01 1.5598860281e-01 1.3173608274e-01
1.0986328125e+01 2.7770582334e-01 1.5113096172e-01 1.2657486162e-01
1.1230468750e+01 2.6458221969e-01 1.4415851971e-01 1.2042369997e-01
1.1474609375e+01 2.4572925201e-01 1.3375479432e-01 1.1197445769e-01
