# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_species=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 2.3167052274e-02 1.5278774074e-02 7.8882781998e-03
1.2207031250e-01 5.9304944620e-02 3.9147181936e-02 2.0157762684e-02
1.8310546875e-01 9.5895511156e-02 6.3222316583e-02 3.2673194573e-02
2.4414062500e-01 9.4504642519e-02 6.2203364447e-02 3.2301278072e-02
3.0517578125e-01 1.0370874085e-01 6.8223280630e-02 3.5485460218e-02
3.6621093750e-01 1.3653152763e-01 8.9641158972e-02 4.6890368656e-02
4.2724609375e-01 1.4789435418e-01 9.6784960017e-02 5.1109394168e-02
4.8828125000e-01 1.3263164261e-01 8.5975779223e-02 4.6655863390e-02
5.4931640625e-01 1.3835411872e-01 8.9631621312e-02 4.8722497404e-02
6.1035156250e-01 1.4468169052e-01 9.4254616915e-02 5.0427073607e-02
6.7138671875e-01 1.4452072050e-01 9.4233845728e-02 5.0286874773e-02
7.3242187500e-01 1.1963319144e-01 7.7845062546e-02 4.1788128894e-02
7.9345703125e-01 1.1376310711e-01 7.4224319600e-02 3.9538787513e-02
8.5449218750e-01 1.7869340186e-01 1.1696087210e-01 6.1732529762e-02
9.1552734375e-01 1.9361270851e-01 1.2671556795e-01 6.6897140558e-02
9.7656250000e-01 1.8200377957e-01 1.1843025710e-01 6.3573522466e-02
1.0375976562e+00 1.6123715056e-01 1.0485836861e-01 5.6378781950e-02
1.0986328125e+00 1.9289475827e-01 1.2578822207e-01 6.7106536197e-02
1.1596679688e+00 1.6218272514e-01 1.0585138558e-01 5.6331339554e-02
1.2207031250e+00 1.4943549294e-01 9.7979442346e-02 5.1456050593e-02
1.2817382812e+00 1.8067850549e-01 1.1828802344e-01 6.2390482054e-02
1.3427734375e+00 1.8989305176e-01 1.2431086905e-01 6.5582182708e-02
1.4038085938e+00 1.6052586814e-01 1.0509316150e-01 5.5432706642e-02
1.4648437500e+00 1.6562823879e-01 1.0828710313e-01 5.7341135658e-02
1.5258789062e+00 1.7461477066e-01 1.1432597340e-01 6.0288797253e-02
1.5869140625e+00 1.9197307025e-01 1.2573886317e-01 6.6234207086e-02
1.6479492188e+00 1.7567877317e-01 1.1482114918e-01 6.0857623989e-02
1.7089843750e+00 1.2775658856e-01 8.3672273514e-02 4.4084315041e-02
1.7700195312e+00 1.8664769630e-01 1.2263604026e-01 6.4011656049e-02
1.8310546875e+00 2.5402251233e-01 1.6692257838e-01 8.7099933945e-02
1.8920898438e+00 2.2165722066e-01 1.4555401123e-01 7.6103209434e-02
1.9531250000e+00 1.7135376323e-01 1.1258308725e-01 5.8770675984e-02
2.0141601562e+00 1.9288980867e-01 1.2668761445e-01 6.6202194220e-02
2.0751953125e+00 2.1355920508e-01 1.4011422882e-01 7.3444976265e-02
2.1362304688e+00 1.7307933709e-01 1.1318840120e-01 5.9890935890e-02
2.1972656250e+00 1.6121571331e-01 1.0556232912e-01 5.5653384186e-02
2.2583007812e+00 2.5908079154e-01 1.7032477882e-01 8.8756012726e-02
2.3193359375e+00 2.4945787916e-01 1.6408049862e-01 8.5377380538e-02
2.3803710938e+00 2.0171577940e-01 1.3241497383e-01 6.9300805572e-02
2.4414062500e+00 2.1702209626e-01 1.4259282051e-01 7.4429275749e-02
2.5024414062e+00 2.3422658957e-01 1.5425732050e-01 7.9969269067e-02
2.5634765625e+00 2.6987840585e-01 1.7749738366e-01 9.2381022189e-02
2.6245117188e+00 2.5536920919e-01 1.6772613518e-01 8.7643074018e-02
2.6855468750e+00 2.2856831310e-01 1.5037903381e-01 7.8189279285e-02
2.7465820312e+00 2.1589109791e-01 1.4171318716e-01 7.4177910749e-02
