# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 9.4376210950e-02 6.1830857138e-02 3.2545353812e-02
1.2207031250e-01 9.6059095418e-02 6.2920157143e-02 3.3138938275e-02
1.8310546875e-01 9.8767653767e-02 6.4673462002e-02 3.4094191765e-02
2.4414062500e-01 1.0237049606e-01 6.7005927112e-02 3.5364568953e-02
3.0517578125e-01 1.0670255207e-01 6.9811001890e-02 3.6891550177e-02
3.6621093750e-01 1.1157811854e-01 7.2968869487e-02 3.8609249052e-02
4.2724609375e-01 1.1680824816e-01 7.6357728404e-02 4.0450519752e-02
4.8828125000e-01 1.2221624635e-01 7.9863782419e-02 4.2352463935e-02
5.4931640625e-01 1.2764596171e-01 8.3386565309e-02 4.4259396401e-02
6.1035156250e-01 1.3296500939e-01 8.6840936064e-02 4.6124073327e-02
6.7138671875e-01 1.3807178970e-01 9.0161613079e-02 4.7910176621e-02
7.3242187500e-01 1.4289460281e-01 9.3302566069e-02 4.9592036740e-02
7.9345703125e-01 1.4738461899e-01 9.6232355857e-02 5.1152263129e-02
8.5449218750e-01 1.5151417006e-01 9.8933054989e-02 5.2581115067e-02
9.1552734375e-01 1.5527700409e-01 1.0140047270e-01 5.3876531383e-02
9.7656250000e-01 1.5868288860e-01 1.0364067200e-01 5.5042216603e-02
1.0375976562e+00 1.6175549869e-01 1.0566863131e-01 5.6086867380e-02
1.0986328125e+00 1.6452944187e-01 1.0750635449e-01 5.7023087381e-02
1.1596679688e+00 1.6704943721e-01 1.0918240728e-01 5.7867029937e-02
1.2207031250e+00 1.6936877138e-01 1.1073093680e-01 5.8637834584e-02
1.2817382812e+00 1.7154571005e-01 1.1218936499e-01 5.9356345065e-02
1.3427734375e+00 1.7363854722e-01 1.1359514949e-01 6.0043397728e-02
1.4038085938e+00 1.7570414848e-01 1.1498485085e-01 6.0719297638e-02
1.4648437500e+00 1.7779490193e-01 1.1639217174e-01 6.1402730186e-02
1.5258789062e+00 1.7995350076e-01 1.1784452051e-01 6.2108980253e-02
1.5869140625e+00 1.8221316267e-01 1.1936319549e-01 6.2849967180e-02
1.6479492188e+00 1.8459694126e-01 1.2096294380e-01 6.3633997462e-02
