# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_species=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 2.9367122476e-02 1.9317872424e-02 1.0049250053e-02
1.2207031250e-01 6.6884197575e-02 4.4007328577e-02 2.2876868998e-02
1.8310546875e-01 3.1290696509e-01 2.0594231863e-01 1.0696464646e-01
2.4414062500e-01 1.8343120550e-01 1.2070230026e-01 6.2728905244e-02
3.0517578125e-01 5.7859009954e-02 3.8016736965e-02 1.9842272989e-02
3.6621093750e-01 1.1496681343e-01 7.5596898435e-02 3.9369914994e-02
4.2724609375e-01 1.2837853017e-01 8.4420718274e-02 4.3957811898e-02
4.8828125000e-01 6.4296190736e-02 4.2251030561e-02 2.2045160174e-02
5.4931640625e-01 9.3898003715e-02 6.1687328883e-02 3.2210674832e-02
6.1035156250e-01 1.7738931553e-01 1.1662541637e-01 6.0763899156e-02
6.7138671875e-01 1.1639690438e-01 7.6438250334e-02 3.9958654047e-02
7.3242187500e-01 8.0146692134e-02 5.2626916396e-02 2.7519775738e-02
7.9345703125e-01 1.7335531412e-01 1.1390307962e-01 5.9452234500e-02
8.5449218750e-01 1.3207170167e-01 8.6718853304e-02 4.5352848370e-02
9.1552734375e-01 1.0999666135e-01 7.2152514580e-02 3.7844146768e-02
9.7656250000e-01 1.6052949711e-01 1.0547812454e-01 5.5051372573e-02
1.0375976562e+00 2.2647843572e-01 1.4878913828e-01 7.7689297432e-02
1.0986328125e+00 1.1275022134e-01 7.3983367796e-02 3.8766853540e-02
1.1596679688e+00 8.5222708326e-02 5.5912807088e-02 2.9309901238e-02
1.2207031250e+00 1.6633408978e-01 1.0915379078e-01 5.7180299000e-02
1.2817382812e+00 1.3699063156e-01 8.9897674458e-02 4.7092957106e-02
1.3427734375e+00 9.7141670670e-02 6.3705625176e-02 3.3436045495e-02
1.4038085938e+00 1.3705652563e-01 9.0015324246e-02 4.7041201387e-02
1.4648437500e+00 1.7578344435e-01 1.1546365813e-01 6.0319786218e-02
1.5258789062e+00 1.1886631260e-01 7.7977379102e-02 4.0888933496e-02
1.5869140625e+00 1.3018300093e-01 8.5504749052e-02 4.4678251880e-02
1.6479492188e+00 2.3944758057e-01 1.5731506610e-01 8.2132514474e-02
1.7089843750e+00 1.8890700529e-01 1.2401819980e-01 6.4888805490e-02
1.7700195312e+00 1.0981954593e-01 7.2056912730e-02 3.7762633196e-02
1.8310546875e+00 1.6801944391e-01 1.1039450802e-01 5.7624935889e-02
1.8920898438e+00 2.5225289692e-01 1.6604912118e-01 8.6203775743e-02
1.9531250000e+00 2.0279844784e-01 1.3332026190e-01 6.9478185945e-02
2.0141601562e+00 1.7355362576e-01 1.1407354532e-01 5.9480080438e-02
2.0751953125e+00 1.6943646140e-01 1.1140647163e-01 5.8029989767e-02
2.1362304688e+00 1.8213223700e-01 1.1968592847e-01 6.2446308532e-02
2.1972656250e+00 1.7123608286e-01 1.1264427946e-01 5.8591803397e-02
2.2583007812e+00 1.8617911764e-01 1.2261030681e-01 6.3568810834e-02
2.3193359375e+00 2.5185253855e-01 1.6586342630e-01 8.5989112254e-02
2.3803710938e+00 2.1571480768e-01 1.4223346905e-01 7.3481338622e-02
2.4414062500e+00 1.9243533052e-01 1.2695812984e-01 6.5477200677e-02
2.5024414062e+00 1.8751027450e-01 1.2371434443e-01 6.3795930075e-02
2.5634765625e+00 2.0941025941e-01 1.3815740502e-01 7.1252854387e-02
2.6245117188e+00 2.0255596071e-01 1.3374114299e-01 6.8814817716e-02
2.6855468750e+00 1.5885760090e-01 1.0488886367e-01 5.3968737234e-02
2.7465820312e+00 1.9629997967e-01 1.2977439770e-01 6.6525581966e-02
2.8076171875e+00 2.7404286056e-01 1.8136656526e-01 9.2676295306e-02
2.8686523438e+00 2.4429102123e-01 1.6196419167e-01 8.2326829562e-02
2.9296875000e+00 1.9116544034e-01 1.2682347208e-01 6.4341968261e-02
2.9907226562e+00 2.3606753003e-01 1.5670386019e-01 7.9363669836e-02
3.0517578125e+00 3.0355208027e-01 2.0158111866e-01 1.0197096161e-01
3.1127929688e+00 2.5112369088e-01 1.6708232645e-01 8.4041364428e-02
3.1738281250e+00 2.1321093019e-01 1.4208353584e-01 7.1127394347e-02
3.2348632812e+00 2.1848864190e-01 1.4575003212e-01 7.2738609786e-02
3.2958984375e+00 3.2265866349e-01 2.1557545091e-01 1.0708321258e-01
3.3569335938e+00 2.7762372709e-01 1.8575929456e-01 9.1864432531e-02
3.4179687500e+00 2.4779009576e-01 1.6610920478e-01 8.1680890980e-02
3.4790039062e+00 2.1498468500e-01 1.4423617085e-01 7.0748514150e-02
3.5400390625e+00 2.7627008564e-01 1.8575891611e-01 9.0511169531e-02
3.6010742188e+00 3.3834971648e-01 2.2815734350e-01 1.1019237298e-01
3.6621093750e+00 2.8838215033e-01 1.9475804238e-01 9.3624107944e-02
3.7231445312e+00 3.1017351933e-01 2.0980615580e-01 1.0036736353e-01
3.7841796875e+00 3.3570171557e-01 2.2732738930e-01 1.0837432626e-01
3.8452148438e+00 3.4097629382e-01 2.3195696780e-01 1.0901932602e-01
3.9062500000e+00 3.4738254810e-01 2.3760875840e-01 1.0977378970e-01
3.9672851562e+00 3.3144902954e-01 2.2709600209e-01 1.0435302745e-01
4.0283203125e+00 3.8619092585e-01 2.6402339372e-01 1.2216753213e-01
4.0893554688e+00 3.7034506571e-01 2.5503880319e-01 1.1530626252e-01
4.1503906250e+00 4.3829647929e-01 3.0533645345e-01 1.3296002585e-01
4.2114257812e+00 4.0524316994e-01 2.8168379448e-01 1.2355937547e-01
4.2724609375e+00 4.2339732412e-01 2.9300180202e-01 1.3039552209e-01
4.3334960938e+00 3.6828648150e-01 2.5654570277e-01 1.1174077873e-01
4.3945312500e+00 3.5156053064e-01 2.4712839750e-01 1.0443213313e-01
4.4555664062e+00 3.8378564974e-01 2.6936222818e-01 1.1442342156e-01
4.5166015625e+00 2.7911237868e-01 1.9637024203e-01 8.2742136647e-02
4.5776367188e+00 2.7820528943e-01 1.9710741308e-01 8.1097876348e-02
4.6386718750e+00 3.3278450984e-01 2.3593354971e-01 9.6850960128e-02
4.6997070312e+00 3.7286597975e-01 2.6455680457e-01 1.0830917518e-01
4.7607421875e+00 2.7609823582e-01 1.9804546604e-01 7.8052769778e-02
4.8217773438e+00 2.8317161183e-01 2.0263396573e-01 8.0537646098e-02
4.8828125000e+00 3.5120637969e-01 2.5077005682e-01 1.0043632287e-01
4.9438476562e+00 3.2590103563e-01 2.3702260362e-01 8.8878432008e-02
5.0048828125e+00 2.8777764332e-01 2.1080114345e-01 7.6976499865e-02
5.0659179688e+00 3.4789143969e-01 2.5123177250e-01 9.6659667184e-02
5.1269531250e+00 4.0804306774e-01 2.9541191901e-01 1.1263114872e-01
5.1879882812e+00 3.8224555835e-01 2.8420602616e-01 9.8039532190e-02
5.2490234375e+00 3.4238535277e-01 2.5499217352e-01 8.7393179254e-02
5.3100585938e+00 3.1797187123e-01 2.3846429543e-01 7.9507575805e-02
5.3710937500e+00 2.8587535040e-01 2.1746553453e-01 6.8409815868e-02
5.4321289062e+00 2.8026699543e-01 2.1459203174e-01 6.5674963692e-02
5.4931640625e+00 2.6555368914e-01 2.0227976822e-01 6.3273920916e-02
5.5541992188e+00 2.9406459520e-01 2.2414668941e-01 6.9917905787e-02
5.6152343750e+00 2.8568578667e-01 2.1732593587e-01 6.8359850804e-02
5.6762695312e+00 2.4069558314e-01 1.8570003592e-01 5.4995547227e-02
5.7373046875e+00 1.9363903701e-01 1.5660551339e-01 3.7033523619e-02
5.7983398438e+00 1.8595549125e-01 1.5175219222e-01 3.4203299022e-02
5.8593750000e+00 2.0963095293e-01 1.6716864674e-01 4.2462306190e-02
5.9204101562e+00 1.9035418022e-01 1.4082995674e-01 4.9524223476e-02
5.9814453125e+00 1.7732473115e-01 1.2381318497e-01 5.3511546172e-02
6.0424804688e+00 1.7576865161e-01 1.2187392832e-01 5.3894723293e-02
6.1035156250e+00 1.1280550013e-01 7.8056425168e-02 3.4749074966e-02
6.1645507812e+00 7.7702805925e-02 5.3850508258e-02 2.3852297667e-02
6.2255859375e+00 1.4319722915e-01 9.9358507454e-02 4.3838721697e-02
6.2866210938e+00 1.6520872882e-01 1.1446108762e-01 5.0747641199e-02
6.3476562500e+00 1.2791528567e-01 8.8600580728e-02 3.9314704942e-02
6.4086914062e+00 1.5892744481e-01 1.1023475432e-01 4.8692690498e-02
6.4697265625e+00 1.6932203177e-01 1.1748095875e-01 5.1841073018e-02
6.5307617188e+00 1.9084758640e-01 1.3249963743e-01 5.8347948969e-02
6.5917968750e+00 1.9921887251e-01 1.3868064186e-01 6.0538230653e-02
6.6528320312e+00 1.7173078552e-01 1.1965385686e-01 5.2076928660e-02
6.7138671875e+00 1.4168166608e-01 9.8640195486e-02 4.3041470595e-02
6.7749023438e+00 1.5679503109e-01 1.0967357436e-01 4.7121456726e-02
6.8359375000e+00 2.2500996780e-01 1.5784884321e-01 6.7161124592e-02
6.8969726562e+00 1.9605396874e-01 1.3760917311e-01 5.8444795629e-02
6.9580078125e+00 1.6961806070e-01 1.1865637164e-01 5.0961689056e-02
7.0190429688e+00 1.9605848138e-01 1.3700941398e-01 5.9049067401e-02
7.0800781250e+00 2.3156922240e-01 1.6246496475e-01 6.9104257647e-02
7.1411132812e+00 2.1113589802e-01 1.4798411805e-01 6.3151779970e-02
7.2021484375e+00 2.3233650642e-01 1.6298769131e-01 6.9348815112e-02
7.2631835938e+00 2.3515213246e-01 1.6514060657e-01 7.0011525883e-02
7.3242187500e+00 2.2807988912e-01 1.5902483362e-01 6.9055055502e-02
7.3852539062e+00 2.8453468046e-01 1.8804714884e-01 9.6487531619e-02
7.4462890625e+00 3.1717995795e-01 1.8634963099e-01 1.3083032696e-01
7.5073242188e+00 3.4365039603e-01 1.9275771151e-01 1.5089268453e-01
7.5683593750e+00 3.6562520547e-01 2.1108737739e-01 1.5453782808e-01
7.6293945312e+00 4.2065861887e-01 2.4414459597e-01 1.7651402289e-01
7.6904296875e+00 4.6939814909e-01 2.6812726892e-01 2.0127088017e-01
7.7514648438e+00 4.3412058916e-01 2.3836672875e-01 1.9575386041e-01
7.8125000000e+00 3.6160375223e-01 1.7943463512e-01 1.8216911711e-01
7.8735351562e+00 3.9698107108e-01 2.0344978567e-01 1.9353128541e-01
7.9345703125e+00 4.2982492130e-01 2.3270343552e-01 1.9712148578e-01
7.9956054688e+00 4.2508302472e-01 2.1720316004e-01 2.0787986468e-01
8.0566406250e+00 4.2840255473e-01 2.3311287433e-01 1.9528968040e-01
8.1176757812e+00 4.2743585122e-01 2.3142985331e-01 1.9600599791e-01
8.1787109375e+00 4.2090440589e-01 2.0442154173e-01 2.1648286416e-01
8.2397460938e+00 3.7520165109e-01 1.7598327229e-01 1.9921837880e-01
8.3007812500e+00 4.0292246827e-01 1.9760094687e-01 2.0532152140e-01
8.3618164062e+00 4.7691772122e-01 2.4337253705e-01 2.3354518418e-01
8.4228515625e+00 5.8533361180e-01 2.9337159692e-01 2.9196201488e-01
8.4838867188e+00 5.3104459861e-01 2.6032368391e-01 2.7072091470e-01
8.5449218750e+00 4.8896392510e-01 2.2645644984e-01 2.6250747527e-01
8.6059570312e+00 5.3909045778e-01 2.2786815290e-01 3.1122230487e-01
8.6669921875e+00 5.9288414364e-01 2.4013246251e-01 3.5275168113e-01
8.7280273438e+00 6.0671357722e-01 2.8088770417e-01 3.2582587305e-01
8.7890625000e+00 6.1340242705e-01 2.8509067688e-01 3.2831175017e-01
8.8500976562e+00 5.6123155602e-01 2.4284022681e-01 3.1839132921e-01
8.9111328125e+00 4.8797697357e-01 2.1604980906e-01 2.7192716451e-01
8.9721679688e+00 4.4535044083e-01 2.0591322769e-01 2.3943721315e-01
9.0332031250e+00 5.1603814641e-01 2.4926440983e-01 2.6677373658e-01
9.0942382812e+00 4.7696470097e-01 2.2642182393e-01 2.5054287704e-01
9.1552734375e+00 4.7831453662e-01 2.2201740516e-01 2.5629713146e-01
9.2163085938e+00 4.6173277384e-01 2.3968103131e-01 2.2205174253e-01
9.2773437500e+00 4.1863095119e-01 2.1733361985e-01 2.0129733134e-01
9.3383789062e+00 4.4011290827e-01 2.1310942751e-01 2.2700348076e-01
9.3994140625e+00 3.9049856822e-01 1.9341443365e-01 1.9708413457e-01
9.4604492188e+00 3.3329381784e-01 1.6037837669e-01 1.7291544116e-01
9.5214843750e+00 4.2948107065e-01 2.2482986445e-01 2.0465120620e-01
9.5825195312e+00 4.2728158337e-01 2.2801440081e-01 1.9926718256e-01
9.6435546875e+00 3.5849586954e-01 1.7450934021e-01 1.8398652933e-01
9.7045898438e+00 3.8506382834e-01 1.9637121074e-01 1.8869261760e-01
9.7656250000e+00 3.7725869678e-01 1.9703843637e-01 1.8022026041e-01
9.8266601562e+00 3.6474969267e-01 1.9094362200e-01 1.7380607067e-01
9.8876953125e+00 3.8196487556e-01 1.8838535219e-01 1.9357952338e-01
9.9487304688e+00 3.3327733853e-01 1.6960026549e-01 1.6367707304e-01
1.0009765625e+01 3.4373798510e-01 1.7525407342e-01 1.6848391168e-01
1.0070800781e+01 3.3121366816e-01 1.6832183107e-01 1.6289183709e-01
1.0131835938e+01 3.4508984935e-01 1.7637125010e-01 1.6871859925e-01
1.0192871094e+01 3.7732651118e-01 1.9815014109e-01 1.7917637009e-01
1.0253906250e+01 3.4895146102e-01 1.9097041173e-01 1.5798104929e-01
1.0314941406e+01 3.4276032424e-01 1.8699737035e-01 1.5576295389e-01
1.0375976562e+01 3.6072162873e-01 1.8355909364e-01 1.7716253509e-01
1.0437011719e+01 3.4509759237e-01 1.8275424342e-01 1.6234334895e-01
1.0498046875e+01 3.2741597454e-01 1.8026784722e-01 1.4714812732e-01
1.0559082031e+01 3.3875324085e-01 1.8239352089e-01 1.5635971996e-01
1.0620117188e+01 3.1475579373e-01 1.7075706495e-01 1.4399872878e-01
1.0681152344e+01 2.8713742523e-01 1.5211531280e-01 1.3502211243e-01
1.0742187500e+01 2.7934701785e-01 1.4974034312e-01 1.2960667473e-01
1.0803222656e+01 3.4335121859e-01 1.8392255513e-01 1.5942866346e-01
1.0864257812e+01 3.8591503902e-01 2.0691063865e-01 1.7900440037e-01
1.0925292969e+01 2.9334255994e-01 1.6083568035e-01 1.3250687959e-01
1.0986328125e+01 3.1843658948e-01 1.7884849362e-01 1.3958809586e-01
1.1047363281e+01 3.2203997293e-01 1.6697953607e-01 1.5506043685e-01
1.1108398438e+01 2.8088963629e-01 1.4194584443e-01 1.3894379185e-01
1.1169433594e+01 2.7855984346e-01 1.4789318867e-01 1.3066665479e-01
1.1230468750e+01 3.0534966006e-01 1.6333801733e-01 1.4201164273e-01
1.1291503906e+01 2.8903884574e-01 1.4463882405e-01 1.4440002169e-01
1.1352539062e+01 2.3825725556e-01 1.2312514119e-01 1.1513211437e-01
