# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 1.1575085705e-01 7.6129979546e-02 3.9620877503e-02
1.2207031250e-01 1.1611619335e-01 7.6367675149e-02 3.9748518206e-02
1.8310546875e-01 1.1671207791e-01 7.6755348489e-02 3.9956729420e-02
2.4414062500e-01 1.1751982587e-01 7.7280817790e-02 4.0239008082e-02
3.0517578125e-01 1.1851887147e-01 7.7930699702e-02 4.0588171770e-02
3.6621093750e-01 1.1968774516e-01 7.8691055800e-02 4.0996689357e-02
4.2724609375e-01 1.2100325385e-01 7.9546831574e-02 4.1456422273e-02
4.8828125000e-01 1.2244148111e-01 8.0482531163e-02 4.1958949948e-02
5.4931640625e-01 1.2398024858e-01 8.1483813521e-02 4.2496435056e-02
6.1035156250e-01 1.2560077635e-01 8.2538578572e-02 4.3062197773e-02
6.7138671875e-01 1.2728077876e-01 8.3632428354e-02 4.3648350406e-02
7.3242187500e-01 1.2899968017e-01 8.4752078429e-02 4.4247601739e-02
7.9345703125e-01 1.3074191434e-01 8.5887529385e-02 4.4854384950e-02
8.5449218750e-01 1.3249721603e-01 8.7032255377e-02 4.5464960651e-02
9.1552734375e-01 1.3426171863e-01 8.8183919794e-02 4.6077798838e-02
9.7656250000e-01 1.3604471348e-01 8.9348820283e-02 4.6695893199e-02
1.0375976562e+00 1.3786927944e-01 9.0542308950e-02 4.7326970494e-02
1.0986328125e+00 1.3976530990e-01 9.1784202331e-02 4.7981107568e-02
1.1596679688e+00 1.4176954922e-01 9.3098806687e-02 4.8670742538e-02
1.2207031250e+00 1.4392475532e-01 9.4514382258e-02 4.9410373059e-02
1.2817382812e+00 1.4626863563e-01 9.6055862542e-02 5.0212773088e-02
1.3427734375e+00 1.4882406791e-01 9.7738419104e-02 5.1085648809e-02
1.4038085938e+00 1.5160240510e-01 9.9569645958e-02 5.2032759137e-02
1.4648437500e+00 1.5460257003e-01 1.0154898518e-01 5.3053584848e-02
1.5258789062e+00 1.5779658029e-01 1.0365819006e-01 5.4138390226e-02
1.5869140625e+00 1.6114232291e-01 1.0586973097e-01 5.5272591944e-02
1.6479492188e+00 1.6458700341e-01 1.0814907982e-01 5.6437923585e-02
1.7089843750e+00 1.6807345626e-01 1.1045886493e-01 5.7614591329e-02
1.7700195312e+00 1.7154443929e-01 1.1276171306e-01 5.8782726236e-02
1.8310546875e+00 1.7495295947e-01 1.1502699498e-01 5.9925964486e-02
1.8920898438e+00 1.7825858456e-01 1.1722844947e-01 6.1030135093e-02
1.9531250000e+00 1.8143375233e-01 1.1934831197e-01 6.2085440352e-02
2.0141601562e+00 1.8447203441e-01 1.2138279339e-01 6.3089241017e-02
2.0751953125e+00 1.8738175550e-01 1.2333785063e-01 6.4043904864e-02
2.1362304688e+00 1.9018128401e-01 1.2522606047e-01 6.4955223537e-02
2.1972656250e+00 1.9290418502e-01 1.2707009424e-01 6.5834090780e-02
2.2583007812e+00 1.9559439280e-01 1.2889949539e-01 6.6694897417e-02
2.3193359375e+00 1.9829818487e-01 1.3074542067e-01 6.7552764197e-02
2.3803710938e+00 2.0106325723e-01 1.3264003461e-01 6.8423222621e-02
2.4414062500e+00 2.0393873909e-01 1.3461648605e-01 6.9322253036e-02
2.5024414062e+00 2.0696773615e-01 1.3670406392e-01 7.0263672229e-02
2.5634765625e+00 2.1018345226e-01 1.3892561528e-01 7.1257836982e-02
2.6245117188e+00 2.1361275199e-01 1.4129998001e-01 7.2312771979e-02
2.6855468750e+00 2.1727153912e-01 1.4383871450e-01 7.3432824626e-02
2.7465820312e+00 2.2116409223e-01 1.4654594201e-01 7.4618150216e-02
2.8076171875e+00 2.2528580362e-01 1.4942007931e-01 7.5865724314e-02
2.8686523438e+00 2.2963185837e-01 1.5245961286e-01 7.7172245508e-02
2.9296875000e+00 2.3419568186e-01 1.5566207364e-01 7.8533608219e-02
