# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.4414062500e-01 1.2559883277e-01 8.2309696869e-02 4.3289135905e-02
4.8828125000e-01 1.5884573840e-01 1.0388118224e-01 5.4964556156e-02
7.3242187500e-01 1.6864590156e-01 1.0994711082e-01 5.8698790745e-02
9.7656250000e-01 1.8188024303e-01 1.1828001040e-01 6.3600232631e-02
1.2207031250e+00 1.8522764944e-01 1.2016086069e-01 6.5066788743e-02
1.4648437500e+00 1.9144820904e-01 1.2400327080e-01 6.7444938238e-02
1.7089843750e+00 1.9692560715e-01 1.2739087035e-01 6.9534736797e-02
1.9531250000e+00 2.1102237422e-01 1.3648652135e-01 7.4535852867e-02
2.1972656250e+00 2.1328412388e-01 1.3781375624e-01 7.5470367645e-02
2.4414062500e+00 2.3202470691e-01 1.5012529876e-01 8.1899408158e-02
2.6855468750e+00 2.4626855194e-01 1.5956032667e-01 8.6708225267e-02
2.9296875000e+00 2.6100751467e-01 1.6953995183e-01 9.1467562835e-02
3.1738281250e+00 2.8431930879e-01 1.8541331773e-01 9.8905991056e-02
3.4179687500e+00 3.2335347949e-01 2.1219611478e-01 1.1115736470e-01
3.6621093750e+00 3.8835476353e-01 2.5707006981e-01 1.3128469373e-01
3.9062500000e+00 4.2140207471e-01 2.8207752023e-01 1.3932455448e-01
4.1503906250e+00 3.2805124878e-01 2.2277965566e-01 1.0527159312e-01
4.3945312500e+00 2.6884511685e-01 1.8599188273e-01 8.2853234118e-02
4.6386718750e+00 2.2557723060e-01 1.5986300026e-01 6.5714230346e-02
4.8828125000e+00 2.0132010992e-01 1.4593681589e-01 5.5383294027e-02
5.1269531250e+00 1.7882442050e-01 1.3297685713e-01 4.5847563370e-02
5.3710937500e+00 1.4829223109e-01 1.0938126038e-01 3.8910970713e-02
5.6152343750e+00 1.1811023120e-01 8.1908136864e-02 3.6202094336e-02
5.8593750000e+00 1.2258647121e-01 8.3586703858e-02 3.8999767354e-02
