# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.4414062500e-01 1.1617535195e-01 7.5958175250e-02 4.0217176704e-02
4.8828125000e-01 1.3912475447e-01 9.0826959388e-02 4.8297795083e-02
7.3242187500e-01 1.6081867615e-01 1.0479184881e-01 5.6026827342e-02
9.7656250000e-01 1.7556178043e-01 1.1416636511e-01 6.1395415324e-02
1.2207031250e+00 1.8515179853e-01 1.2017213983e-01 6.4979658698e-02
1.4648437500e+00 1.9283283250e-01 1.2496174732e-01 6.7871085184e-02
1.7089843750e+00 2.0071803687e-01 1.2993142389e-01 7.0786612986e-02
1.9531250000e+00 2.0979586273e-01 1.3573816000e-01 7.4057702732e-02
2.1972656250e+00 2.2063873511e-01 1.4277694641e-01 7.7861788692e-02
2.4414062500e+00 2.3383457232e-01 1.5146940307e-01 8.2365169252e-02
2.6855468750e+00 2.5020622942e-01 1.6241406759e-01 8.7792161827e-02
2.9296875000e+00 2.7134365309e-01 1.7675094034e-01 9.4592712748e-02
3.1738281250e+00 2.9862601606e-01 1.9552375475e-01 1.0310226130e-01
3.4179687500e+00 3.2886677930e-01 2.1676568891e-01 1.1210109039e-01
3.6621093750e+00 3.5067746681e-01 2.3299211347e-01 1.1768535334e-01
3.9062500000e+00 3.5006844387e-01 2.3482032041e-01 1.1524812346e-01
4.1503906250e+00 3.2364360667e-01 2.1975641479e-01 1.0388719187e-01
4.3945312500e+00 2.8265391717e-01 1.9499705454e-01 8.7656862628e-02
4.6386718750e+00 2.4156600775e-01 1.6982577465e-01 7.1740233093e-02
4.8828125000e+00 2.0702244097e-01 1.4814399228e-01 5.8878448691e-02
5.1269531250e+00 1.7865408487e-01 1.2910162796e-01 4.9552456916e-02
5.3710937500e+00 1.5581154283e-01 1.1209576717e-01 4.3715775657e-02
5.6152343750e+00 1.4084421059e-01 9.9237486680e-02 4.1606723908e-02
5.8593750000e+00 1.3685250481e-01 9.3065590573e-02 4.3786914237e-02
6.1035156250e+00 1.4497944452e-01 9.3749168235e-02 5.1230276285e-02
6.3476562500e+00 1.6480179624e-01 9.9901554237e-02 6.4900241999e-02
6.5917968750e+00 1.9526604810e-01 1.1079549194e-01 8.4470556158e-02
6.8359375000e+00 2.3519377529e-01 1.2690527556e-01 1.0828849973e-01
7.0800781250e+00 2.8496632524e-01 1.4946911911e-01 1.3549720614e-01
7.3242187500e+00 3.4628534180e-01 1.7934236618e-01 1.6694297562e-01
7.5683593750e+00 4.1615080134e-01 2.1403626265e-01 2.0211453868e-01
